prompt,total_tentativas,trv,tri,tpf,tnini,tff,correcoes_adequadas
P1,3,0.3333,0.3333,0.3333,1.0,0.6667,1
P2,3,0.3333,0.3333,0.3333,1.0,0.6667,1
P3,3,1.0,0.6667,1.0,1.0,0.0,3
P4,3,1.0,0.6667,1.0,1.0,0.0,3
