caso_id,owasp,vulnerabilidade,total_tentativas,tcbs,tri,tpf,tnini,tff,correcoes_adequadas
V01,A05,SQLI,4,1.0,1.0,1.0,1.0,0.0,4
V02,A05,SQLI,4,0.5,0.5,0.5,1.0,0.5,2
V03,A01,IDOR,4,0.5,0.0,0.5,1.0,0.5,2
